VariableName,InputDate,OutputDate,Type,InputValue,OutputValue,EntryType,Account,SubAccount,AcctPeriod,UsedInDocuments
InitialInvestment,PeriodStartDate,1/7/16,Constant,10000,10000,CR,Share Capital,,1,1
InitialInvestmentCash,PeriodStartDate,1/7/16,Ref,$InitialInvestment,10000,DR,Cash,,1,1
StationWagonValue,PeriodStartDate,1/7/16,Constant,2500,2500,CR,Share Capital,,1,2
StationWagonValueAsset,PeriodStartDate,1/7/16,Ref,$StationWagonValue,2500,DR,Motor Vehicles,,1,2
Loan,PeriodStartDate,1/7/16,Constant,6000,6000,CR,Interest Bearing Loans,,1,2
LoanCash,PeriodStartDate,1/7/16,Ref,$Loan,6000,DR,Cash,,1,2
InsuranceCost,PeriodStartDate,1/7/16,Random,"Random(2000, 4000, 100)",3000,CR,Accounts Payable,AAMI,1,3
InsuranceCostExp,PeriodStartDate,1/7/16,Ref,$InsuranceCost,3000,DR,Prepaid Expense,,1,3
PremisesHire,PeriodStartDate,1/7/16,Random,"Random(800, 1200, 50)",1050,CR,Accounts Payable,Hi-Road,1,4
PremisesHireExp,PeriodStartDate,1/7/16,Ref,$PremisesHire,1050,DR,Prepaid Expense,,1,4
KitchenAid1MixerPrice,PeriodStartDate + 2d,3/7/16,Random,"Random(500, 700, 50)",600,,,,1,5
KitchenAid1MixerQty,PeriodStartDate + 2d,3/7/16,Constant,6,6,,,,1,5
KitchenAid1MixerSubtotal,PeriodStartDate + 2d,3/7/16,Ref,$KitchenAid1MixerPrice * $KitchenAid1MixerQty,3600,,,,1,5
KitchenAid1PressPrice,PeriodStartDate + 2d,3/7/16,Random,"Random(180, 250, 5)",210,,,,1,5
KitchenAid1PressQty,PeriodStartDate + 2d,3/7/16,Random,"Random(2, 4, 1)",2,,,,1,5
KitchenAid1PressSubtotal,PeriodStartDate + 2d,3/7/16,Ref,$KitchenAid1PressPrice * $KitchenAid1PressQty,420,,,,1,5
KitchenAid1Subtotal,PeriodStartDate + 2d,3/7/16,Ref,$KitchenAid1MixerSubtotal + $KitchenAid1PressSubtotal,4020,,,,1,5
KitchenAid1Freight,PeriodStartDate + 2d,3/7/16,Constant,150,150,,,,1,5
KitchenAid1Total,PeriodStartDate + 2d,3/7/16,Ref,$KitchenAid1Subtotal+ $KitchenAid1Freight,4170,CR,Accounts Payable,KitchenAid,1,5
